Animal ID,house_number,street_name,city,state
A872946,,Alderbrook Drive,Austin,TX
A872948,,Alderbrook Drive,Austin,TX
A872945,,Alderbrook Drive,Austin,TX
A872942,,Alderbrook Drive,Austin,TX
A872949,,Alderbrook Drive,Austin,TX
A872943,,Alderbrook Drive,Austin,TX
A872950,,Alderbrook Drive,Austin,TX
A878167,,Aldrich St And E 51St St,Austin,TX
A895447,,Aldrich St And Garcia St,Austin,TX
A914029,,Aldrich St And Robert Browning St,Austin,TX
A914030,,Aldrich St And Robert Browning St,Austin,TX
A845183,,Aldrich Street,Austin,TX
A900459,,Aldrich Street,Austin,TX
A819511,,Aldrich Street,Austin,TX
A910374,,Aldrich Street And Philomena Street,Austin,TX
A825851,,Alemoor Drive,Austin,TX
A898042,,Alexandria Drive,Austin,TX
A899897,,Alfalfa Drive And Ming Trl,Travis County,TX
A878817,,Alguno Road And Grover Avenue,Austin,TX
A878815,,Alguno Road And Grover Avenue,Austin,TX
A878813,,Alguno Road And Grover Avenue,Austin,TX
A878816,,Alguno Road And Grover Avenue,Austin,TX
A878814,,Alguno Road And Grover Avenue,Austin,TX
A878818,,Alguno Road And Grover Avenue,Austin,TX
A928313,,Alister Oakhill Apartment Complex,Austin,TX
A834492,,Allamanda Drive,Austin,TX
A826525,,Alleyton,Austin,TX
A814269,,Alondra Lane And Pinon Vista Drive,Austin,TX
A869207,,Alpha Collier And Quiet Wood,Austin,TX
A904296,,Alpine Autumn Drive,Austin,TX
A837061,,Alta Vista Avenue,Austin,TX
A861431,,Alterra Parkway,Austin,TX
A842156,,Alterra Parkway,Austin,TX
A914659,,Alterra Pkwy And Kramer Ln,Austin,TX
A914662,,Alterra Pkwy And Kramer Ln,Austin,TX
A914661,,Alterra Pkwy And Kramer Ln,Austin,TX
A914660,,Alterra Pkwy And Kramer Ln,Austin,TX
A914663,,Alterra Pkwy And Kramer Ln,Austin,TX
A863580,,Alum Rock Drive,Austin,TX
A880215,,Alvin Devane Boulevard,Austin,TX
A833049,,Alysheba,Travis County,TX
A833048,,Alysheba,Travis County,TX
A840449,,Alysheba Drive,Travis County,TX
A840447,,Alysheba Drive,Travis County,TX
A840446,,Alysheba Drive,Travis County,TX
A840448,,Alysheba Drive,Travis County,TX
A833788,,Amber Pass,Austin,TX
A822936,,Amblewood Way,Austin,TX
A853220,,American Mustang Loop,Manor,TX
A918949,,American Mustang Loop And Charger Way,Austin,TX
A870646,,Amherst And Duval,Austin,TX
A826786,,Anahuac Trail And Brandt Road,Austin,TX
A826787,,Anahuac Trail And Brandt Road,Austin,TX
A864033,,Anderson,Austin,TX
A856116,,Anderson And Georgian,Austin,TX
A918970,,Anderson And Georgian,Austin,TX
A804217,,Anderson And Mopac,Austin,TX
A804216,,Anderson And Mopac,Austin,TX
A837750,,Anderson And Shoal Creek,Austin,TX
A903725,,Anderson Drive And Hardy Drive,Austin,TX
A925924,,Anderson Ln,Austin,TX
A921669,,Anderson Ln,Austin,TX
A849798,,Anderson Ln,Austin,TX
A921668,,Anderson Ln,Austin,TX
A921665,,Anderson Ln,Austin,TX
A921664,,Anderson Ln,Austin,TX
A921661,,Anderson Ln,Austin,TX
A921660,,Anderson Ln,Austin,TX
A921659,,Anderson Ln,Austin,TX
A921666,,Anderson Ln,Austin,TX
A921662,,Anderson Ln,Austin,TX
A921667,,Anderson Ln,Austin,TX
A921663,,Anderson Ln,Austin,TX
A921670,,Anderson Ln,Austin,TX
A866786,,Anderson Ln And Woodrow,Austin,TX
A861294,,Anderson Mill And 620,Austin,TX
A852500,,Anderson Mill And 620,Travis County,TX
A854471,,Anderson Mill And 620,Austin,TX
A823242,,Anderson Mill And Research Boulevard,Austin,TX
A909810,,Anderson Mill And Saddlebrook Trail,Austin,TX
A863409,,Anderson Mill Rd And Old Mill Rd,Travis County,TX
A887800,,Anderson Mill Rd And Pond Springs Rd,Austin,TX
A887797,,Anderson Mill Rd And Pond Springs Rd,Austin,TX
A887803,,Anderson Mill Rd And Pond Springs Rd,Austin,TX
A887798,,Anderson Mill Rd And Pond Springs Rd,Austin,TX
A887799,,Anderson Mill Rd And Pond Springs Rd,Austin,TX
A887802,,Anderson Mill Rd And Pond Springs Rd,Austin,TX
A827870,,Anderson Mill Road,Austin,TX
A819188,,Anderson Mill Road,Austin,TX
A822085,,Anderson Mill Road,Austin,TX
A813446,,Anderson Mill Road And Amasia Drive,Travis County,TX
A715718,,Anderson Mill Road And Spicewood Springs,Austin,TX
A924273,,Anderson Square And Research Boulevard,Austin,TX
